fen,move_rank,move
r3kn1r/1pp1bppp/p2q1n2/3p4/3P1B2/2P2N2/PP2QPPP/RN2R1K1 b kq - 2 11,3,"{'Move': 'd6d8', 'Centipawn': 33, 'Mate': None}"
r2qkn1r/1pp1bppp/p4n2/3p4/3P1B2/2P2N2/PP2QPPP/RN2R1K1 w kq - 3 12,3,"{'Move': 'f4g3', 'Centipawn': 35, 'Mate': None}"
r2qkn1r/1pp1bppp/p4n2/3p4/3P4/2P2NB1/PP2QPPP/RN2R1K1 b kq - 4 12,3,"{'Move': 'f8e6', 'Centipawn': 37, 'Mate': None}"
r3rbk1/pp3ppp/1n6/1N1p4/1Pq1n3/2P2N2/PB3PPP/2RQR1K1 w - - 13 18,1,"{'Move': 'd1e2', 'Centipawn': -186, 'Mate': None}"
r3rbk1/pp3ppp/1n6/1N1p4/1Pq1n3/2P2N2/PB2QPPP/2R1R1K1 b - - 14 18,1,"{'Move': 'e4g5', 'Centipawn': -201, 'Mate': None}"
r3rbk1/pp3ppp/1n6/1N1p2n1/1Pq5/2P2N2/PB2QPPP/2R1R1K1 w - - 15 19,1,"{'Move': 'e2c4', 'Centipawn': -194, 'Mate': None}"
r3rbk1/pp3ppp/1n6/1N1p2n1/1PQ5/2P2N2/PB3PPP/2R1R1K1 b - - 0 19,1,"{'Move': 'g5f3', 'Centipawn': -197, 'Mate': None}"
r3rbk1/pp3ppp/1n6/1N1p4/1PQ5/2P2n2/PB3PPP/2R1R1K1 w - - 0 20,1,"{'Move': 'g2f3', 'Centipawn': -185, 'Mate': None}"
r3rbk1/pp3ppp/1n6/1N1p4/1PQ5/2P2P2/PB3P1P/2R1R1K1 b - - 0 20,1,"{'Move': 'd5c4', 'Centipawn': -199, 'Mate': None}"
r3rbk1/pp3ppp/1n6/1N6/1Pp5/2P2P2/PB3P1P/2R1R1K1 w - - 0 21,1,"{'Move': 'b5d4', 'Centipawn': -197, 'Mate': None}"
r3rbk1/pp3ppp/1n6/8/1PpN4/2P2P2/PB3P1P/2R1R1K1 b - - 1 21,1,"{'Move': 'g7g6', 'Centipawn': -201, 'Mate': None}"
r3rbk1/pp3p1p/1n4p1/8/1PpN4/2P2P2/PB3P1P/2R1R1K1 w - - 0 22,1,"{'Move': 'g1f1', 'Centipawn': -212, 'Mate': None}"
r3rbk1/pp3p1p/1n4p1/8/1PpN4/2P2P2/PB3P1P/2R1RK2 b - - 1 22,1,"{'Move': 'e8e1', 'Centipawn': -225, 'Mate': None}"
r3rbk1/pp1q1ppp/1n6/1N1p4/1P2n3/2P2N2/PB3PPP/2RQR1K1 w - - 13 18,2,"{'Move': 'b5a3', 'Centipawn': -149, 'Mate': None}"
r3rbk1/pp1q1ppp/1n6/3p4/1P2n3/N1P2N2/PB3PPP/2RQR1K1 b - - 14 18,2,"{'Move': 'a7a5', 'Centipawn': -151, 'Mate': None}"
r3rbk1/1p1q1ppp/1n6/p2p4/1P2n3/N1P2N2/PB3PPP/2RQR1K1 w - - 0 19,2,"{'Move': 'd1b3', 'Centipawn': -158, 'Mate': None}"
r3rbk1/1p1q1ppp/1n6/p2p4/1P2n3/NQP2N2/PB3PPP/2R1R1K1 b - - 1 19,2,"{'Move': 'd7a4', 'Centipawn': -144, 'Mate': None}"
r3rbk1/1p3ppp/1n6/p2p4/qP2n3/NQP2N2/PB3PPP/2R1R1K1 w - - 2 20,2,"{'Move': 'e1e2', 'Centipawn': -167, 'Mate': None}"
r3rbk1/1p3ppp/1n6/p2p4/qP2n3/NQP2N2/PB2RPPP/2R3K1 b - - 3 20,2,"{'Move': 'e4g5', 'Centipawn': -163, 'Mate': None}"
r3rbk1/1p3ppp/1n6/p2p2n1/qP6/NQP2N2/PB2RPPP/2R3K1 w - - 4 21,2,"{'Move': 'f3d4', 'Centipawn': -168, 'Mate': None}"
r3rbk1/1p3ppp/1n6/p2p2n1/qP1N4/NQP5/PB2RPPP/2R3K1 b - - 5 21,2,"{'Move': 'e8e2', 'Centipawn': -160, 'Mate': None}"
r4bk1/1p3ppp/1n6/p2p2n1/qP1N4/NQP5/PB2rPPP/2R3K1 w - - 0 22,2,"{'Move': 'd4e2', 'Centipawn': -160, 'Mate': None}"
r4bk1/1p3ppp/1n6/p2p2n1/qP6/NQP5/PB2NPPP/2R3K1 b - - 0 22,2,"{'Move': 'a5b4', 'Centipawn': -143, 'Mate': None}"
r2qrbk1/pp3ppp/1n6/1N1p4/1P2n3/2P2N2/PB3PPP/2RQR1K1 w - - 13 18,3,"{'Move': 'c1c2', 'Centipawn': -107, 'Mate': None}"
r2qrbk1/pp3ppp/1n6/1N1p4/1P2n3/2P2N2/PBR2PPP/3QR1K1 b - - 14 18,3,"{'Move': 'a7a6', 'Centipawn': -102, 'Mate': None}"
r2qrbk1/1p3ppp/pn6/1N1p4/1P2n3/2P2N2/PBR2PPP/3QR1K1 w - - 0 19,3,"{'Move': 'b5d4', 'Centipawn': -111, 'Mate': None}"
r2qrbk1/1p3ppp/pn6/3p4/1P1Nn3/2P2N2/PBR2PPP/3QR1K1 b - - 1 19,3,"{'Move': 'b6a4', 'Centipawn': -107, 'Mate': None}"
r2qrbk1/1p3ppp/p7/3p4/nP1Nn3/2P2N2/PBR2PPP/3QR1K1 w - - 2 20,3,"{'Move': 'b2a1', 'Centipawn': -102, 'Mate': None}"
r2qrbk1/1p3ppp/p7/3p4/nP1Nn3/2P2N2/P1R2PPP/B2QR1K1 b - - 3 20,3,"{'Move': 'a8c8', 'Centipawn': -114, 'Mate': None}"
2rqrbk1/1p3ppp/p7/3p4/nP1Nn3/2P2N2/P1R2PPP/B2QR1K1 w - - 4 21,3,"{'Move': 'a2a3', 'Centipawn': -117, 'Mate': None}"
2rqrbk1/1p3ppp/p7/3p4/nP1Nn3/P1P2N2/2R2PPP/B2QR1K1 b - - 0 21,3,"{'Move': 'b7b5', 'Centipawn': -108, 'Mate': None}"
2rqrbk1/5ppp/p7/1p1p4/nP1Nn3/P1P2N2/2R2PPP/B2QR1K1 w - - 0 22,3,"{'Move': 'd1d3', 'Centipawn': -121, 'Mate': None}"
2rqrbk1/5ppp/p7/1p1p4/nP1Nn3/P1PQ1N2/2R2PPP/B3R1K1 b - - 1 22,3,"{'Move': 'g7g6', 'Centipawn': -118, 'Mate': None}"
r1q1rbk1/1p3ppp/p4n2/1N1p4/PPnN4/2P2P2/6PP/B1RQR1K1 w - - 1 22,1,"{'Move': 'b5a3', 'Centipawn': -487, 'Mate': None}"
r1q1rbk1/1p3ppp/p4n2/3p4/PPnN4/N1P2P2/6PP/B1RQR1K1 b - - 2 22,1,"{'Move': 'c4a3', 'Centipawn': -489, 'Mate': None}"
r1q1rbk1/1p3ppp/p4n2/3p4/PP1N4/n1P2P2/6PP/B1RQR1K1 w - - 0 23,1,"{'Move': 'c3c4', 'Centipawn': -494, 'Mate': None}"
r1q1rbk1/1p3ppp/p4n2/3p4/PPPN4/n4P2/6PP/B1RQR1K1 b - - 0 23,1,"{'Move': 'e8e1', 'Centipawn': -494, 'Mate': None}"
r1q2bk1/1p3ppp/p4n2/3p4/PPPN4/n4P2/6PP/B1RQr1K1 w - - 0 24,1,"{'Move': 'd1e1', 'Centipawn': -481, 'Mate': None}"
r1q2bk1/1p3ppp/p4n2/3p4/PPPN4/n4P2/6PP/B1R1Q1K1 b - - 0 24,1,"{'Move': 'a3c4', 'Centipawn': -490, 'Mate': None}"
r1q2bk1/1p3ppp/p4n2/3p4/PPnN4/5P2/6PP/B1R1Q1K1 w - - 0 25,1,"{'Move': 'g2g4', 'Centipawn': -487, 'Mate': None}"
r1q2bk1/1p3ppp/p4n2/3p4/PPnN2P1/5P2/7P/B1R1Q1K1 b - - 0 25,1,"{'Move': 'f6e8', 'Centipawn': -486, 'Mate': None}"
r1q1nbk1/1p3ppp/p7/3p4/PPnN2P1/5P2/7P/B1R1Q1K1 w - - 1 26,1,"{'Move': 'e1c3', 'Centipawn': -485, 'Mate': None}"
r1q1nbk1/1p3ppp/p7/3p4/PPnN2P1/2Q2P2/7P/B1R3K1 b - - 2 26,1,"{'Move': 'e8d6', 'Centipawn': -506, 'Mate': None}"
r1q1rbk1/1p3ppp/8/1N1p4/PPn1n3/2P2P2/6PP/B1RQR1K1 b - - 0 22,2,"{'Move': 'e4f6', 'Centipawn': -485, 'Mate': None}"
r1q1rbk1/1p3ppp/5n2/1N1p4/PPn5/2P2P2/6PP/B1RQR1K1 w - - 1 23,2,"{'Move': 'a4a5', 'Centipawn': -481, 'Mate': None}"
r1q1rbk1/1p3ppp/5n2/PN1p4/1Pn5/2P2P2/6PP/B1RQR1K1 b - - 0 23,2,"{'Move': 'f6h5', 'Centipawn': -485, 'Mate': None}"
r1q1rbk1/1p3ppp/8/PN1p3n/1Pn5/2P2P2/6PP/B1RQR1K1 w - - 1 24,2,"{'Move': 'b5d4', 'Centipawn': -482, 'Mate': None}"
r1q1rbk1/1p3ppp/8/P2p3n/1PnN4/2P2P2/6PP/B1RQR1K1 b - - 2 24,2,"{'Move': 'h5f4', 'Centipawn': -478, 'Mate': None}"
r1q1rbk1/1p3ppp/8/P2p4/1PnN1n2/2P2P2/6PP/B1RQR1K1 w - - 3 25,2,"{'Move': 'd1c2', 'Centipawn': -480, 'Mate': None}"
r1q1rbk1/1p3ppp/8/P2p4/1PnN1n2/2P2P2/2Q3PP/B1R1R1K1 b - - 4 25,2,"{'Move': 'c8d7', 'Centipawn': -483, 'Mate': None}"
r3rbk1/1p1q1ppp/8/P2p4/1PnN1n2/2P2P2/2Q3PP/B1R1R1K1 w - - 5 26,2,"{'Move': 'c1d1', 'Centipawn': -492, 'Mate': None}"
r3rbk1/1p1q1ppp/8/P2p4/1PnN1n2/2P2P2/2Q3PP/B2RR1K1 b - - 6 26,2,"{'Move': 'g7g6', 'Centipawn': -487, 'Mate': None}"
r1q1rbk1/1p3ppp/p7/1N1p2n1/PPnN4/2P2P2/6PP/B1RQR1K1 w - - 1 22,3,"{'Move': 'e1e8', 'Centipawn': -358, 'Mate': None}"
r1q1Rbk1/1p3ppp/p7/1N1p2n1/PPnN4/2P2P2/6PP/B1RQ2K1 b - - 0 22,3,"{'Move': 'c8e8', 'Centipawn': -360, 'Mate': None}"
r3qbk1/1p3ppp/p7/1N1p2n1/PPnN4/2P2P2/6PP/B1RQ2K1 w - - 0 23,3,"{'Move': 'b5c7', 'Centipawn': -360, 'Mate': None}"
r3qbk1/1pN2ppp/p7/3p2n1/PPnN4/2P2P2/6PP/B1RQ2K1 b - - 1 23,3,"{'Move': 'e8e3', 'Centipawn': -352, 'Mate': None}"
r4bk1/1pN2ppp/p7/3p2n1/PPnN4/2P1qP2/6PP/B1RQ2K1 w - - 2 24,3,"{'Move': 'g1h1', 'Centipawn': -349, 'Mate': None}"
r4bk1/1pN2ppp/p7/3p2n1/PPnN4/2P1qP2/6PP/B1RQ3K b - - 3 24,3,"{'Move': 'a8d8', 'Centipawn': -359, 'Mate': None}"
3r1bk1/1pN2ppp/p7/3p2n1/PPnN4/2P1qP2/6PP/B1RQ3K w - - 4 25,3,"{'Move': 'h2h4', 'Centipawn': -360, 'Mate': None}"
3r1bk1/1pN2ppp/p7/3p2n1/PPnN3P/2P1qP2/6P1/B1RQ3K b - - 0 25,3,"{'Move': 'e3f4', 'Centipawn': -361, 'Mate': None}"
3r1bk1/1pN2ppp/p7/3p2n1/PPnN1q1P/2P2P2/6P1/B1RQ3K w - - 1 26,3,"{'Move': 'd1e1', 'Centipawn': -355, 'Mate': None}"
3r1bk1/1pN2ppp/p7/3p2n1/PPnN1q1P/2P2P2/6P1/B1R1Q2K b - - 2 26,3,"{'Move': 'g5f3', 'Centipawn': -357, 'Mate': None}"
2q1rbk1/1p3ppp/r7/PN6/1Pn5/2P1p3/6PP/B1RQR1K1 w - - 1 25,1,"{'Move': 'b5d4', 'Centipawn': -372, 'Mate': None}"
2q1rbk1/1p3ppp/r7/P7/1PnN4/2P1p3/6PP/B1RQR1K1 b - - 2 25,1,"{'Move': 'a6h6', 'Centipawn': -375, 'Mate': None}"
2q1rbk1/1p3ppp/7r/P7/1PnN4/2P1p3/6PP/B1RQR1K1 w - - 3 26,1,"{'Move': 'c1c2', 'Centipawn': -382, 'Mate': None}"
2q1rbk1/1p3ppp/7r/P7/1PnN4/2P1p3/2R3PP/B2QR1K1 b - - 4 26,1,"{'Move': 'f8d6', 'Centipawn': -376, 'Mate': None}"
2q1r1k1/1p3ppp/3b3r/P7/1PnN4/2P1p3/2R3PP/B2QR1K1 w - - 5 27,1,"{'Move': 'g2g3', 'Centipawn': -389, 'Mate': None}"
2q1r1k1/1p3ppp/3b3r/P7/1PnN4/2P1p1P1/2R4P/B2QR1K1 b - - 0 27,1,"{'Move': 'c4d2', 'Centipawn': -399, 'Mate': None}"
2q1r1k1/1p3ppp/3b3r/P7/1P1N4/2P1p1P1/2Rn3P/B2QR1K1 w - - 1 28,1,"{'Move': 'e1e3', 'Centipawn': -402, 'Mate': None}"
2q1r1k1/1p3ppp/3b3r/P7/1P1N4/2P1R1P1/2Rn3P/B2Q2K1 b - - 0 28,1,"{'Move': 'e8e3', 'Centipawn': -423, 'Mate': None}"
2q3k1/1p3ppp/3b3r/P7/1P1N4/2P1r1P1/2Rn3P/B2Q2K1 w - - 0 29,1,"{'Move': 'c2d2', 'Centipawn': -439, 'Mate': None}"
2q3k1/1p3ppp/3b3r/P7/1P1N4/2P1r1P1/3R3P/B2Q2K1 b - - 0 29,1,"{'Move': 'd6g3', 'Centipawn': -441, 'Mate': None}"
r1q1rbk1/1p3pp1/8/PN5p/1Pn5/2P1p3/6PP/B1RQR1K1 w - - 0 25,2,"{'Move': 'b5d4', 'Centipawn': -324, 'Mate': None}"
r1q1rbk1/1p3pp1/8/P6p/1PnN4/2P1p3/6PP/B1RQR1K1 b - - 1 25,2,"{'Move': 'a8a6', 'Centipawn': -332, 'Mate': None}"
2q1rbk1/1p3pp1/r7/P6p/1PnN4/2P1p3/6PP/B1RQR1K1 w - - 2 26,2,"{'Move': 'c1c2', 'Centipawn': -349, 'Mate': None}"
2q1rbk1/1p3pp1/r7/P6p/1PnN4/2P1p3/2R3PP/B2QR1K1 b - - 3 26,2,"{'Move': 'h5h4', 'Centipawn': -362, 'Mate': None}"
2q1rbk1/1p3pp1/r7/P7/1PnN3p/2P1p3/2R3PP/B2QR1K1 w - - 0 27,2,"{'Move': 'c2e2', 'Centipawn': -362, 'Mate': None}"
2q1rbk1/1p3pp1/r7/P7/1PnN3p/2P1p3/4R1PP/B2QR1K1 b - - 1 27,2,"{'Move': 'h4h3', 'Centipawn': -363, 'Mate': None}"
2q1rbk1/1p3pp1/r7/P7/1PnN4/2P1p2p/4R1PP/B2QR1K1 w - - 0 28,2,"{'Move': 'b4b5', 'Centipawn': -367, 'Mate': None}"
2q1rbk1/1p3pp1/r7/PP6/2nN4/2P1p2p/4R1PP/B2QR1K1 b - - 0 28,2,"{'Move': 'a6g6', 'Centipawn': -478, 'Mate': None}"
2q1rbk1/1p3pp1/6r1/PP6/2nN4/2P1p2p/4R1PP/B2QR1K1 w - - 1 29,2,"{'Move': 'd1d3', 'Centipawn': -467, 'Mate': None}"
2q1rbk1/1p3pp1/6r1/PP6/2nN4/2PQp2p/4R1PP/B3R1K1 b - - 2 29,2,"{'Move': 'e8e5', 'Centipawn': -464, 'Mate': None}"
r1q1r1k1/1p2bppp/8/PN6/1Pn5/2P1p3/6PP/B1RQR1K1 w - - 1 25,3,"{'Move': 'b5d4', 'Centipawn': -319, 'Mate': None}"
r1q1r1k1/1p2bppp/8/P7/1PnN4/2P1p3/6PP/B1RQR1K1 b - - 2 25,3,"{'Move': 'a8a6', 'Centipawn': -317, 'Mate': None}"
2q1r1k1/1p2bppp/r7/P7/1PnN4/2P1p3/6PP/B1RQR1K1 w - - 3 26,3,"{'Move': 'c1c2', 'Centipawn': -318, 'Mate': None}"
2q1r1k1/1p2bppp/r7/P7/1PnN4/2P1p3/2R3PP/B2QR1K1 b - - 4 26,3,"{'Move': 'e7h4', 'Centipawn': -335, 'Mate': None}"
2q1r1k1/1p3ppp/r7/P7/1PnN3b/2P1p3/2R3PP/B2QR1K1 w - - 5 27,3,"{'Move': 'g2g3', 'Centipawn': -327, 'Mate': None}"
2q1r1k1/1p3ppp/r7/P7/1PnN3b/2P1p1P1/2R4P/B2QR1K1 b - - 0 27,3,"{'Move': 'a6g6', 'Centipawn': -335, 'Mate': None}"
2q1r1k1/1p3ppp/6r1/P7/1PnN3b/2P1p1P1/2R4P/B2QR1K1 w - - 1 28,3,"{'Move': 'c2g2', 'Centipawn': -328, 'Mate': None}"
2q1r1k1/1p3ppp/6r1/P7/1PnN3b/2P1p1P1/6RP/B2QR1K1 b - - 2 28,3,"{'Move': 'h4g5', 'Centipawn': -336, 'Mate': None}"
2q1r1k1/1p3ppp/6r1/P5b1/1PnN4/2P1p1P1/6RP/B2QR1K1 w - - 3 29,3,"{'Move': 'd1h5', 'Centipawn': -337, 'Mate': None}"
2q1r1k1/1p3ppp/6r1/P5bQ/1PnN4/2P1p1P1/6RP/B3R1K1 b - - 4 29,3,"{'Move': 'h7h6', 'Centipawn': -327, 'Mate': None}"
3rrbk1/1p3ppp/8/P7/1P1N4/2P1pQ2/3n1qPP/B1R1R2K w - - 7 28,1,"{'Move': 'f3e2', 'Centipawn': -327, 'Mate': None}"
3rrbk1/1p3ppp/8/P7/1P1N4/2P1p3/3nQqPP/B1R1R2K b - - 8 28,1,"{'Move': 'g7g6', 'Centipawn': -339, 'Mate': None}"
3rrbk1/1p3p1p/6p1/P7/1P1N4/2P1p3/3nQqPP/B1R1R2K w - - 0 29,1,"{'Move': 'a1b2', 'Centipawn': -330, 'Mate': None}"
3rrbk1/1p3p1p/6p1/P7/1P1N4/2P1p3/1B1nQqPP/2R1R2K b - - 1 29,1,"{'Move': 'h7h5', 'Centipawn': -344, 'Mate': None}"
3rrbk1/1p3p2/6p1/P6p/1P1N4/2P1p3/1B1nQqPP/2R1R2K w - - 0 30,1,"{'Move': 'c1a1', 'Centipawn': -358, 'Mate': None}"
3rrbk1/1p3p2/6p1/P6p/1P1N4/2P1p3/1B1nQqPP/R3R2K b - - 1 30,1,"{'Move': 'f8d6', 'Centipawn': -341, 'Mate': None}"
3rr1k1/1p3p2/3b2p1/P6p/1P1N4/2P1p3/1B1nQqPP/R3R2K w - - 2 31,1,"{'Move': 'g2g3', 'Centipawn': -356, 'Mate': None}"
3rr1k1/1p3p2/3b2p1/P6p/1P1N4/2P1p1P1/1B1nQq1P/R3R2K b - - 0 31,1,"{'Move': 'h5h4', 'Centipawn': -348, 'Mate': None}"
3rr1k1/1p3p2/3b2p1/P7/1P1N3p/2P1p1P1/1B1nQq1P/R3R2K w - - 0 32,1,"{'Move': 'e2f2', 'Centipawn': -353, 'Mate': None}"
3rr1k1/1p3p2/3b2p1/P7/1P1N3p/2P1p1P1/1B1n1Q1P/R3R2K b - - 0 32,1,"{'Move': 'e3f2', 'Centipawn': -356, 'Mate': None}"
3rrbk1/1p3ppp/8/P7/1PnN3q/2P1pQ2/6PP/B1R1R2K w - - 7 28,2,"{'Move': 'e1f1', 'Centipawn': -273, 'Mate': None}"
3rrbk1/1p3ppp/8/P7/1PnN3q/2P1pQ2/6PP/B1R2R1K b - - 8 28,2,"{'Move': 'd8d7', 'Centipawn': -262, 'Mate': None}"
4rbk1/1p1r1ppp/8/P7/1PnN3q/2P1pQ2/6PP/B1R2R1K w - - 9 29,2,"{'Move': 'f3f4', 'Centipawn': -284, 'Mate': None}"
4rbk1/1p1r1ppp/8/P7/1PnN1Q1q/2P1p3/6PP/B1R2R1K b - - 10 29,2,"{'Move': 'h4d8', 'Centipawn': -294, 'Mate': None}"
3qrbk1/1p1r1ppp/8/P7/1PnN1Q2/2P1p3/6PP/B1R2R1K w - - 11 30,2,"{'Move': 'f1e1', 'Centipawn': -285, 'Mate': None}"
3qrbk1/1p1r1ppp/8/P7/1PnN1Q2/2P1p3/6PP/B1R1R2K b - - 12 30,2,"{'Move': 'd8c8', 'Centipawn': -283, 'Mate': None}"
2q1rbk1/1p1r1ppp/8/P7/1PnN1Q2/2P1p3/6PP/B1R1R2K w - - 13 31,2,"{'Move': 'f4f1', 'Centipawn': -289, 'Mate': None}"
2q1rbk1/1p1r1ppp/8/P7/1PnN4/2P1p3/6PP/B1R1RQ1K b - - 14 31,2,"{'Move': 'f8e7', 'Centipawn': -305, 'Mate': None}"
2q1r1k1/1p1rbppp/8/P7/1PnN4/2P1p3/6PP/B1R1RQ1K w - - 15 32,2,"{'Move': 'c1c2', 'Centipawn': -300, 'Mate': None}"
2q1r1k1/1p1rbppp/8/P7/1PnN4/2P1p3/2R3PP/B3RQ1K b - - 16 32,2,"{'Move': 'e7h4', 'Centipawn': -304, 'Mate': None}"
3rrbk1/1p3ppp/P7/8/1PnN4/2P1pq2/6PP/B1R1R2K b - - 0 28,3,"{'Move': 'f3d5', 'Centipawn': -733, 'Mate': None}"
3rrbk1/1p3ppp/P7/3q4/1PnN4/2P1p3/6PP/B1R1R2K w - - 1 29,3,"{'Move': 'b4b5', 'Centipawn': -735, 'Mate': None}"
3rrbk1/1p3ppp/P7/1P1q4/2nN4/2P1p3/6PP/B1R1R2K b - - 0 29,3,"{'Move': 'b7a6', 'Centipawn': -768, 'Mate': None}"
3rrbk1/5ppp/p7/1P1q4/2nN4/2P1p3/6PP/B1R1R2K w - - 0 30,3,"{'Move': 'b5a6', 'Centipawn': -780, 'Mate': None}"
3rrbk1/5ppp/P7/3q4/2nN4/2P1p3/6PP/B1R1R2K b - - 0 30,3,"{'Move': 'd8a8', 'Centipawn': -782, 'Mate': None}"
r3rbk1/5ppp/P7/3q4/2nN4/2P1p3/6PP/B1R1R2K w - - 1 31,3,"{'Move': 'c1d1', 'Centipawn': -803, 'Mate': None}"
r3rbk1/5ppp/P7/3q4/2nN4/2P1p3/6PP/B2RR2K b - - 2 31,3,"{'Move': 'a8a6', 'Centipawn': -880, 'Mate': None}"
4rbk1/5ppp/r7/3q4/2nN4/2P1p3/6PP/B2RR2K w - - 0 32,3,"{'Move': 'd1b1', 'Centipawn': -902, 'Mate': None}"
4rbk1/5ppp/r7/3q4/2nN4/2P1p3/6PP/BR2R2K b - - 1 32,3,"{'Move': 'a6a2', 'Centipawn': -932, 'Mate': None}"
3rr1k1/1p4pp/8/P4pb1/1PnN4/2P1pP2/1BR4P/4R2K w - - 0 31,1,"{'Move': 'e1a1', 'Centipawn': -265, 'Mate': None}"
3rr1k1/1p4pp/8/P4pb1/1PnN4/2P1pP2/1BR4P/R6K b - - 1 31,1,"{'Move': 'e3e2', 'Centipawn': -271, 'Mate': None}"
3rr1k1/1p4pp/8/P4pb1/1PnN4/2P2P2/1BR1p2P/R6K w - - 0 32,1,"{'Move': 'a1e1', 'Centipawn': -282, 'Mate': None}"
3rr1k1/1p4pp/8/P4pb1/1PnN4/2P2P2/1BR1p2P/4R2K b - - 1 32,1,"{'Move': 'g5d2', 'Centipawn': -300, 'Mate': None}"
3rr1k1/1p4pp/8/P4p2/1PnN4/2P2P2/1BRbp2P/4R2K w - - 2 33,1,"{'Move': 'c2d2', 'Centipawn': -297, 'Mate': None}"
3rr1k1/1p4pp/8/P4p2/1PnN4/2P2P2/1B1Rp2P/4R2K b - - 0 33,1,"{'Move': 'c4d2', 'Centipawn': -266, 'Mate': None}"
3rr1k1/1p4pp/8/P4p2/1P1N4/2P2P2/1B1np2P/4R2K w - - 0 34,1,"{'Move': 'h1g2', 'Centipawn': -299, 'Mate': None}"
3rr1k1/1p4pp/8/P4p2/1P1N4/2P2P2/1B1np1KP/4R3 b - - 1 34,1,"{'Move': 'e8e3', 'Centipawn': -305, 'Mate': None}"
3r2k1/1p4pp/8/P4p2/1P1N4/2P1rP2/1B1np1KP/4R3 w - - 2 35,1,"{'Move': 'g2f2', 'Centipawn': -302, 'Mate': None}"
